Title,Director,Cast,Genre,Notes,Ref.,Year,index
Khurafat,Syamsul Yusof,"Syamsul Yusof, Liyana Jasmay, Sabrina Ali, Salina Saibi, Zendy, Fauziah Nawi, Nur Huda, Mariani, Latif Borgiba, Along Eyzendy",Horror,Skop Productions Grand Brilliance,,2011,1
Great Day,Chiu Keng Guan,"Jack Lim, Wan Wai Fun, Vivian, Jiang Han, Royce Tan",Comedy / Drama,Cantonese-language film,,2011,2
HAQ,"C.L. Hor, Jumaatun Azmi","Zul Huzaimy, Adi Putra, Nanu Baharuddin, Raja Farah",Action / Drama,,,2011,3
Sini Ada Hantu,James Lee,"Alvin Wong, Baki Zainal, Mano Maniam, Eira Syazira, Kuswadinata, Fasha Sandha, Patrick Teoh, Pete Teo, Ramasundram",Horror / Mystery / Thriller,Astro Shaw,,2011,4
Kembar Siang,Hatta Azad Khan,"Kamal Adli, Intan Ladyana, Mat Over, Zul Handyblack, Zaibo, Rozita Che Wan, Lan Pet Pet, Sabri Yunus",Comedy,Metrowealth Pictures,,2011,5
Hikayat Merong Mahawangsa,Yusry Abdul Halim,"Stephen Rahman Hughes, Khir Rahman, Ummi Nazeera, Jehan Miskin, Jing Lu, Deborah Henry, Umie Aida",Historical / Action / Epic / War,KRU Studios,,2011,6
Ratu The Movie,Abdul Razak Mohaideen,"Eizlan Yusof, Fouziah Ghous, Yusry Abdul Halim, Azlee Khairi, Zaibo, Aminah Rhapor, Cico Harahap",Adventure / Drama / Mystery,Lineclear Motion Pictures,,2011,7
...Dalam Botol,Khir Rahman,"Arja Lee, Wan Raja, Fauziah Ahmad Daud, Diana Danielle",Drama,,,2011,8
Cun,Osman Ali,"Remy Ishak, Maya Karin, Ning Baizura, Jehan Miskin",Comedy / Family / Romance,Tayangan Unggul,,2011,9
Dilarang Masuk,Jeffrey Chan,"Shiqin Kamal, Azma Aizal Yusoof, Muniff Isa, Isma Hanum Husein, Esma Daniel",Thriller / Horror,,,2011,10
Senjakala,Ahmad Idham,"Zahiril Adzim, Liyana Jasmay, Faezah Elai, Aida Aris, Ruminah Sidek, Kamal Adli",Horror,Excellent Pictures,,2011,11
Penunggu Istana,Wan Hasliza,"Siti Nadhirah Mohd Zain (Adeek), Sara Ali, Nor Zafirah Abd Rahim, Amar Asyraf Zailuddin",Horror,Grand Brilliance Primeworks Studios,,2011,12
Seru,"Pierre Andre, Ming Jin","Pierre Andre, Nora Danish, Awal Ashaari, Cut Mutia, Azman Hassan, Sharnaaz Ahmad, Nisha Dirr",Horror / Mystery / Thriller,Tayangan Unggul,,2011,13
Momok Jangan Panggil Aku,M. Jamil,"M. Jamil, Cassandra Patrick, Ariff S. Shamsuddin, Zarina Zainuddin",Horror,,,2011,14
Kongsi,Farid Kamil,"Fizo Omar, Shaheizy Sam, Zul Handyblack, Azad Jasmin, Putri Mardiana, Fida, Yana Samsudin",Action / Comedy,Metrowealth Pictures,,2011,15
Nur Kasih The Movie,Kabir Bhatia,"Remy Ishak, Tiz Zaqyah, Fizz Fairuz",Drama,"Grand Brilliance, Juita Videi Filmspace",,2011,16
Karak,Yusry Abdul Halim,"Shera Aiyob, Shahir Zawawi, Kilafairy, Along Eyzendy",Horror/ Thriller,KRU Studios,,2011,17
Toyol Nakal,,"Joey Exist, Julia Ziegler, Aaron Frando, Abon, Mr. Os, Mimi M. Borhan",Comedy / Drama,,,2011,18
KL Gangster,Syamsul Yusof,"Aaron Aziz, Adi Putra, Syamsul Yusof, Ridzuan Hashim, Sofi Jikan, Zizan Razak",Action,,,2011,19
3 2 1 Cinta,Azhari Mohd Zain,"Farid Kamil, Diana Amir, Pierre Andre",Romance / Comedy,,,2011,20
Rasuk,S. Baldev Singh,"Fouziah Ghous, Iqram Dinzly, Sidek Hussain, Fauziah Nawi, Khir Mohd Noor",Horror / Thriller,White Mapert Entertainment,,2011,21
Sekali Lagi,Hashim Rejab,"Shaheizy Sam, Mia Sara Nasuha, Lisa Surihani, Bront Palarae",Romance,Metrowealth Pictures,,2011,22
